N:K.KJ.T86.KT97652 A5.AQT85.KJ3.AQJ 9843.97432.974.8 QJT762.6.AQ52.43,0,1,0,4,0,13,12,13,9,13,0,1,0,4,0,13,12,13,9,13
N:AJ7.KT42.87.A643 3.AQ97.A643.JT95 K865.J.KJ92.KQ87 QT942.8653.QT5.2,8,5,7,9,8,5,7,5,4,5,8,5,7,9,8,5,7,5,4,5
N:AQJ.KT.763.KJ986 T3.J873.QJT954.2 652.Q942.82.T753 K9874.A65.AK.AQ4,4,5,4,8,6,7,8,9,5,5,4,4,4,8,6,8,8,9,5,6
N:J7.T92.9762.T987 Q63.J73.AK3.AK32 AKT952.K.JT54.Q4 84.AQ8654.Q8.J65,6,1,5,2,1,7,10,7,10,11,6,1,5,2,1,6,10,6,9,7
N:A2.863.86542.K85 KQ9873.QJ42..AJ7 65.A975.AKT97.T3 JT4.KT.QJ3.Q9642,2,5,7,3,4,11,8,6,10,7,2,5,7,3,4,11,8,6,10,7
N:65.K9.762.AT9632 AK98732.JT872..K J.53.KQJ94.Q8754 QT4.AQ64.AT853.J,1,1,8,9,4,11,11,5,3,7,1,1,8,9,4,11,11,5,3,7
N:QT42.KJ6.A975.92 AK973.A.QJ84.K73 8.T953.3.AQJT654 J65.Q8742.KT62.8,3,7,3,10,8,9,6,10,3,3,3,7,3,10,8,9,6,10,2,3
N:Q3.QT86.AQT3.T52 K76.A542.54.QJ74 AJT.KJ3.KJ72.A63 98542.97.986.K98,7,10,11,8,9,5,2,2,4,2,7,10,11,8,9,5,2,2,4,2
N:A85.QT87.Q53.KT7 KT92.A63.AJ7.A98 764.KJ42.K9642.5 QJ3.95.T8.QJ6432,5,7,7,3,6,8,6,6,10,7,5,7,7,3,6,8,6,6,10,7
N:AQJT92.K632..J87 64.T84.AJT9.KT64 873.J975.Q54.AQ2 K5.AQ.K87632.953,11,12,5,7,6,2,1,8,5,5,11,12,5,7,6,2,1,8,7,5
N:Q964.Q.754.AQJ86 T87.AK92.KQ63.KT AK52.T654.A98.53 J3.J873.JT2.9742,9,5,5,9,6,3,8,7,4,5,9,5,5,9,6,3,8,7,4,5
