
training of backgammon
{'value_loss': 0.17279568314552307, 'loss_actor': -0.02188386581838131, 'entropy': 1.3384957313537598, 'eval_vs_random_policy': -0.53125, 'steps': 16384}
{'value_loss': 0.1080830842256546, 'loss_actor': -0.02459479495882988, 'entropy': 1.281977653503418, 'eval_vs_random_policy': 0.0625, 'steps': 32768}
{'value_loss': 0.08620640635490417, 'loss_actor': -0.02600494585931301, 'entropy': 1.253472089767456, 'eval_vs_random_policy': 0.1875, 'steps': 49152}
{'value_loss': 0.0601581335067749, 'loss_actor': -0.028317369520664215, 'entropy': 1.2159299850463867, 'eval_vs_random_policy': -0.140625, 'steps': 65536}
{'value_loss': 0.05969392508268356, 'loss_actor': -0.0289533082395792, 'entropy': 1.1753528118133545, 'eval_vs_random_policy': -0.046875, 'steps': 81920}
{'value_loss': 0.05012236535549164, 'loss_actor': -0.030503656715154648, 'entropy': 1.1442017555236816, 'eval_vs_random_policy': 0.5, 'steps': 98304}
{'value_loss': 0.051843442022800446, 'loss_actor': -0.03029647283256054, 'entropy': 1.1315935850143433, 'eval_vs_random_policy': 0.796875, 'steps': 114688}
{'value_loss': 0.04677204042673111, 'loss_actor': -0.031568169593811035, 'entropy': 1.1173447370529175, 'eval_vs_random_policy': 1.0, 'steps': 131072}
{'value_loss': 0.05155838280916214, 'loss_actor': -0.03034297190606594, 'entropy': 1.0566834211349487, 'eval_vs_random_policy': 0.609375, 'steps': 147456}
{'value_loss': 0.05089674890041351, 'loss_actor': -0.028728242963552475, 'entropy': 1.0019094944000244, 'eval_vs_random_policy': 0.5, 'steps': 163840}
{'value_loss': 0.053300242871046066, 'loss_actor': -0.030731473118066788, 'entropy': 0.9982728958129883, 'eval_vs_random_policy': 0.90625, 'steps': 180224}
{'value_loss': 0.05064884573221207, 'loss_actor': -0.030110353603959084, 'entropy': 0.9636596441268921, 'eval_vs_random_policy': 1.046875, 'steps': 196608}
{'value_loss': 0.04872407391667366, 'loss_actor': -0.03078852966427803, 'entropy': 0.9551455974578857, 'eval_vs_random_policy': 0.921875, 'steps': 212992}
{'value_loss': 0.05076577514410019, 'loss_actor': -0.028589297086000443, 'entropy': 0.932436466217041, 'eval_vs_random_policy': 1.0, 'steps': 229376}
{'value_loss': 0.05486784130334854, 'loss_actor': -0.029540816321969032, 'entropy': 0.9089783430099487, 'eval_vs_random_policy': 1.0, 'steps': 245760}
